"person","sequence_id","coin","start","sequence","dataset"
"FelipeFontanaVieira",58,"0.50EUR","t","hhhhttthtththtttttxthhttthhhthxhhhthtttthxhtttxthhtthttthtxtthhhhtthxtttxhttttthhhtttthhtttththhhhhxhhttthhh","Internet"
"FelipeFontanaVieira",59,"0.50EUR","t","tththhtttthxxthhthhthhhthtttthhtthhhhtthttththtttthtttththtthtthhtthtthtthhttttxhhhttththhhhhhthtthttht","Internet"
"FelipeFontanaVieira",60,"2EUR","h","thtxthttttttthhththhhhttttttthhxtthxhhthttthtthhthtthtttththtthttttthtxhhhhhthhhthttththtthhhtthhxttthtth","Internet"
"FelipeFontanaVieira",61,"2EUR","t","thhhtttthhthhhxthhhhhtttxhtthttthhtththhtttthtthttthhhththtthhthhhhttthtxthththttthtthtthhthtthhhtthxhth","Internet"
"FelipeFontanaVieira",62,"2EUR","t","hhhhtthhhhtxhhhhhttttttthtthhhttttttthhttttttthththhhtththxhhtttthththhthhthxhhtthxhtxhtthhtthttthtthhhth","Internet"
"FelipeFontanaVieira",63,"2EUR","t","hthhhhhthtththhhhhhhhhtthhhttththhthtxhtttttxhhththhxtthththxxtthhtthtttxhthhhhhttthttthhtttxtthtthtxhhhhtht","Internet"
"FelipeFontanaVieira",64,"2EUR","h","htthtththttthhttthhthhhthtthhtthhhhhttthtthhhthhhthttthxhhhttthxhhthhhthxttttthtthtttttxthhthhhhthhtthtt","Internet"
"FelipeFontanaVieira",65,"2EUR","h","tthhthtttthttththhxttttttththttxtthhhtthhhhhthttttthttxthtttxhhthttthtthhhhxhhhhthhhthhhthhhthhxhhhthhhthh","Internet"
"FelipeFontanaVieira",66,"2EUR","t","hhhtttthttthxhhthhththhhhhthhhtxhhhhttthhttthxttthhtthttttxhththhhhhtttthththhhthhhhhtttthththhhthhhthtt","Internet"
"FelipeFontanaVieira",67,"2EUR","h","tthtthhhhhhhtttttthhhhhthhttthhthxhttttthhthttthhhhhthththhhtttttthhthhhthtththhhhhtxthhhxhhthhtththhht","Internet"
"FelipeFontanaVieira",68,"2EUR","h","tththhhthhhhhthtthththttthtththhxtxthhxhtxhhhtthhthtttttxthttttthhhhhhthtttthththtttttxthhtthhhxhththttttth","Internet"
"FelipeFontanaVieira",69,"2EUR","t","thhhhtthtthhthhhhhthhhthhthhththxhthttttxthhxthhtthhttxttttthtthhhttttttttthhxthhtxhtthttthhththttttthhtht","Internet"
"FelipeFontanaVieira",70,"2EUR","h","hthtthhhthhthhthhhtthxhhtthttthththththttxhthtthttthttxtttthhthhthhhthttthxhttttxhtthhhtththhtthhhhhhthtt","Internet"
"FelipeFontanaVieira",71,"2EUR","h","hhthhthhtthhhthtthhhhthttttthhhhthhhhhhhthhtthhthtxthxhthhhxhxhhthttththhhhhththhtxhhhtththttththhhhxthhhh","Internet"
"FelipeFontanaVieira",72,"2EUR","t","httthhhtthhtthhhhtththhhhhhthhthhhthtthhhhhthhthhhtthtthtttthhhhtthhhtttttttthhhhthtthtttxtthttthtthtt","Internet"
"FelipeFontanaVieira",73,"2EUR","h","ttthhthhthtttthhttxhttthtthhhthhhhttthhhtthththtththhthtthhhhtttthhhtttthhhtthttthhtttthhthhhththhhht","Internet"
"FelipeFontanaVieira",74,"2EUR","h","thhhhththtttthhhtththththhhthhhthhthhtthhhthtttttxhthththhhththhhhththththtxttthhhthhtthhththhthhthhht","Internet"
"FelipeFontanaVieira",75,"2EUR","h","hthhhttthttthhhththhhthhtthhhttttttthhhthttthhhhtththhhtttthhxhhthhththttthhtthtttthhhhthttththtthtth","Internet"
"FelipeFontanaVieira",76,"2EUR","t","ttthhhhthhhhhtththhhhttththhhhhhhhthttthhhhhhhtththttthhthhhththhhthxxhhttthhtthhthtttthttthtthhhhhhtt","Internet"
"FelipeFontanaVieira",77,"2EUR","h","ttthhthhhhtthttthhhtthhhhthhthhttthhtttthhththttthxhhhthtthhhhhthhtttththhtththtttthhttthhhhhhhhhthh","Internet"
"FelipeFontanaVieira",78,"2EUR","t","hhhhthtttththttttttthtthhthhththtththtthhhttththttttthhtttttthhthhtthtthtxhhhtttththhhhhhhtththtthhth","Internet"
"FelipeFontanaVieira",79,"2EUR","t","htttttthhhhhtthhthhhththhtthhthhtthththththhhhthtttththhtthththtthththhhhtttthhhhhthhhhhtththhtttttxt","Internet"
"FelipeFontanaVieira",80,"2EUR","h","thhhxththtthhtttthhttththhhtttthtttthtthtttttthhtttthtttththhttththhtxhhttththtthhhtthhhhtttthhhhththth","Internet"
"FelipeFontanaVieira",81,"2EUR","t","htththhhhtttthththtthhhthhhhthththtththhtthhhthhhhxtthhhtttttthtxhhhththhtthhthhthhhtttthhttthtththttth","Internet"
"FelipeFontanaVieira",82,"2EUR","t","thhhthtthhhhthhhthttxthhtthtththhthhttthtthhhththxthhttthhthttttthhhhhtttththtthhhhhhthxtthhthhthhhthtt","Internet"
"FelipeFontanaVieira",83,"2EUR","h","hthhthhthtththhhhhthhhththtttththhthhhththttththhthhhhhtttthxtthtththhhhhthtttxthhhtthhhtththhthhtthhh","Internet"
"FelipeFontanaVieira",84,"2EUR","t","hhtthhtxhthhhhhthtthhhttttthhhxththhhhhthhtthhxhtththhxtthhhhhhhthhtthhhhxtthtthhththhhhhhhhttthtthhtthth","Internet"
"FelipeFontanaVieira",85,"2EUR","t","thhtthttttthtththhhttththhhtttthtttthhhhthhttttththttthtthhththtttthtthxthtththhhhhththtthththhthhhthtt","Internet"
"FelipeFontanaVieira",86,"2EUR","h","hhtttthhhththhhhtthttttthttttxhhhhthhttththhhththtthtttththhhhhhhttththhtthtthtthhhhhtttthhxxthhhththtt","Internet"
"FelipeFontanaVieira",87,"2EUR","h","tthththhhhhhhhtthththhthtthtxthhhhhhthhttthxhhhthhhhhhhthxhtxhthhthhhhhtthttthhtthhhhtthhhhhthhhhhxttttht","Internet"
"FelipeFontanaVieira",88,"2EUR","h","hhtthhhthhhhtththhhththththhtthhththhhtxttthxtthtxhxtthtthhthhhtthhtththtthhthhxhhhhhhhhhhthhthhthtthhttt","Internet"
"FelipeFontanaVieira",89,"2EUR","h","hthththhthththtttthtththtttttthhhhhhtttththhhthtthxtthhththtthhhhthhttththhhhhtttthhttthhhhhhttttthth","Internet"
"FelipeFontanaVieira",90,"2EUR","t","httthtthhhhhhhthhthhhhhhthtthhththttthtthhthtthhhhhtththtttthhhtthththttthhtththhhhtthttttthhhthtthht","Internet"
"FelipeFontanaVieira",91,"2EUR","h","htttththhthhhxththtthttthhthhtthhthtthtthtththhthtttthhhhthhhtthtththhhttttthhhhthhtthtttthxxhttththhht","Internet"
"FelipeFontanaVieira",92,"2EUR","h","httthhthhhhhtthtthhttthhthtthtthtththtththtttxhthhthththhthhxhhtttththttthhhththhthxtxtththxththxhhhhtttht","Internet"
"FelipeFontanaVieira",93,"2EUR","h","hhthhtttttxhhhhtthththttttxthttthhtxhhhhhtthhxhtthtthththhtttthhhhhttxthhttttthhhhhhhhthhttthhtttttthxhthh","Internet"
"FelipeFontanaVieira",94,"2EUR","t","thtthhhttthhhhtthtthhhthhttthxtthtxthhhttttthhhhttthtthhthththhtthhthhthhttththhttthhtththhtththhhthtt","Internet"
"FelipeFontanaVieira",95,"2EUR","h","hhtxthtthhhtthttxtxxtththththhhxtthhtthhthhthtthhtttthtthhththhhttthhtththhhttttthhtthtthttthhhththhhhttt","Internet"
"FelipeFontanaVieira",96,"2EUR","h","thhttththththhhttthtthhhthhthhhththttthhththhhhtthhthhtttttttthttthhxththhhhttththhthtttthhhthxttthttth","Internet"
"FelipeFontanaVieira",97,"2EUR","t","thtthhhtthhhhttttttthttttttxhhthhthhhtthxthhhthhhthhhhhhxhhththththhhthhthhxhtthtthhtthhttthttthtthhttth","Internet"
"FelipeFontanaVieira",98,"2EUR","t","htthhhtthhtttthhttthththhthttthhttthtxththtthhtttthtttthhthhhhhhhttththtthtttxtthttxxthtttththhhththhhhhth","Internet"
"FelipeFontanaVieira",99,"2EUR","t","hththhthhhthhhhtthhtththhthttthtthhhxhthtthhtththhhhtthhthhhhhttthhthtthhtthhtthhthxthhhthththhthhhhhh","Internet"
"FelipeFontanaVieira",100,"2EUR","t","hthxhhthttththhhhthhthtthttthxhxhttththhthhhhhtxhxhtttthttxhttthttttthhthhhtttthhthhhtttttttthttthttttthht","Internet"
"FranziskaNippold",1,"0.50EUR","t","thhhhhtthxhthhhttthtttthhhtxththtthhhhththttthhthtththththtthhxhhttthhthhththhththtthhhththxtxtthhhhhhththhhttht","Internet"
"FranziskaNippold",2,"0.50EUR","t","ththhthxhhthtthhthxttthhthttttthhhhtttttthtttthttxhttthtxhhhtthhthtthxththtthttthttttththhhhhtthxhhhthttxhhthttxt","Internet"
"FranziskaNippold",3,"0.50EUR","t","tttthttthhthhtthhtthttttththhthhhhthhxhtthhttttthththxththhhththxhththhhhtthhhhxhhhhhthhttthththtthhhxhhtthttxxh","Internet"
"FranziskaNippold",4,"0.50EUR","t","ttthhtthtthtthhtttthththhhhhhhhthtthxhhthtthhhtthhthhhtttthhtttththhthhhhhthtxthtththhhhhtxhxhhtthtttthhthhxhth","Internet"
"FranziskaNippold",5,"0.50EUR","t","thhthhxhtthtthhtthttttxhhttxtxtthtttthhtttthhhthhthtxhxhtxhhthttxhhhthhthhtthttttthhhhhxhtttthhththhttttthxhhhht","Internet"
"FranziskaNippold",6,"0.50EUR","t","httttthhttthhthhhhhhthhhthtxxxtttttthtththhtxhhxxhhhhhxhthtthhhthhhhhhthtttxhhhhxththhhhhttxtthhhhhxththhtttxhttttxthhht","Internet"
"FranziskaNippold",7,"0.50EUR","t","hthtttxtxtttthhtttthhhhtxhtttttthhhhhhttttxhxttththhtttthtttttthhxhthhttxhhththttttttthtthttththththtthhthhhthtt","Internet"
"FranziskaNippold",8,"0.50EUR","t","tthxhttxhhhhhtttthxhtththtththhtthhxthhttxthhttthttttthhtthhthhhthhtttttthhhhxthhhhtththhthtxthhhthttxttthhhhhhth","Internet"
"FranziskaNippold",9,"0.50EUR","t","thxttthhhthhthtxthhttththhhhtthhtttxxhttthxttttttthhhttxththtttthhthtttthhhtthhtthhhthhxhxhhhhhthhhthhthhththxttth","Internet"
"FranziskaNippold",10,"0.50EUR","t","hhhthhxxtthhtthhhhhhhttthhttthhthhthhttthhhttthtthttttththhttthhhhhhththhttthttthhhhhhtttthtxhttthhhhththhthhttth","Internet"
"FranziskaNippold",11,"0.50EUR","t","thhhhhhthhhhhthttthhhxtxtthtttxtthhttttttttthxhtththhtththhhtthththhtthxthhththththhththhttthtthhtxttthhhttthhht","Internet"
"FranziskaNippold",12,"0.50EUR","t","thxtththththttthtththttttthttttthxhhhtthhhttthhtxhhthtxhththtttthththhhththththhtthxhhtthtthhhhhhtxhhtxthhtthhxhhhh","Internet"
"FranziskaNippold",13,"0.50EUR","t","hhtthhhthtthhhhthttthtththhthhttthttttththhhhtttttxxthtthtthxtthththhthttthhhthhhttthxhtthhhhtthhtththththtthxht","Internet"
"FranziskaNippold",14,"0.50EUR","t","ttthtthhhhtthhtthttthtxtthtththttxththhtxhththhtthhttthhhtthhhhtthhtttthhttthtthhhtthhthhthhhhhhhxthhhhhtttttthh","Internet"
"FranziskaNippold",15,"0.50EUR","t","htttttttttttthhttthtththhtthtththtttthhthhthththtthhthtthhthhhhhhthtthhtthhthxhthththttxttthhhthxththhttxthhtthht","Internet"
"FranziskaNippold",16,"0.50EUR","t","htththtthtttxtttthtttttththhhthhhhthtttththhhthhhthttttthhhhttxthhthhtthtthxhthhhthhhhhththhhhxhhtxhhtthhhttthhth","Internet"
"FranziskaNippold",17,"0.50EUR","t","thhhhhhttthhhthtthhhtxhthhtthtththhhhhththhtttthhhthttthhhhhthtthhhthththxtxthhhthhtttttthhhtththhthtttxxthhhtthhhh","Internet"
"FranziskaNippold",18,"0.50EUR","t","hhthhhhhtthtthhhttxttthtthhhthhhthxhthtthttttxttthhtthhhthtttthtxttthxthhtthhthtthxtttxhxhhttttthhhhhthtttttthttth","Internet"
"FranziskaNippold",19,"0.50EUR","t","tththtthhthththttttxththththhthtthththtthxhhhttththhhhthhhtttxtttthttttththtthhthhtthttxtttththhhthtthtttththhhhh","Internet"
"FranziskaNippold",20,"0.50EUR","t","hhhhthtthththtthhthhthtththhtthhxhhththxthttthhhthhthhthhtthtthhtthtthhhtththtthxththhththhhthtttthttthhttxthhth","Internet"
"FranziskaNippold",21,"0.20EUR","t","hhthtththtthtthxthhhtthhhttttthxttttthtxhhhhhhtthhhthttthhhhtthhtthtttthxhtthhhhttxthttthttttthtthhhththththttth","Internet"
"FranziskaNippold",22,"0.20EUR","t","hththxtththhtthttthtttththttthhththttthhthhhtxhthttthhhhththttthhxxtthttthhhtthhthhhhttthhthtttttttthththtththht","Internet"
"FranziskaNippold",23,"0.20EUR","t","thhthttthhtththtttxthxtththhhhhhthxttthtthtththxhhtttxhhhhththhthtttthhtthhhxthththhxttthhttthhhhhxthhtttththhthhthhh","Internet"
"FranziskaNippold",24,"0.20EUR","t","httthhhthtththhtththhhhtthhhhththhthtthhhthhhthhtththhhhtthttxhthtthththhhhtthhhhthhhxhththhhhththtthhhxhtthhtxtht","Internet"
"FranziskaNippold",25,"0.20EUR","t","tttththhhttthxthxhthhthhhthhhhttthhtthhthhhthtthttthhhttthhtxxthhhthtththhxthththhtthhhttttthxhtthxxhhhhhhxthxthhthhhxttthth","Internet"
"FranziskaNippold",26,"0.20EUR","t","ttththhhhhhhthttthttththhhhthttththhxhhhthhthhththhttxthhtthhhtthththhthxhhhhhhhtthhthhhthtttththhttthhtxtttthttthhhh","Internet"
"FranziskaNippold",27,"0.20EUR","t","tthhttthhtttththtthhthttthtthttxtthhhtththxhttthhthtttttttththhhhxhxhhthxhtttxtthhthtthtttthtttttttxhtththhhhhhxhtttxhhhht","Internet"
"FranziskaNippold",28,"0.20EUR","t","tthtththhhhthhthhtthhththttthhhthhtthhtthhhhhthhtthhtthtxtthhtthtxthhtttxtththttttxttthttthhtthtthttththtttttthxttt","Internet"
"FranziskaNippold",29,"0.20EUR","t","thhththtthhhtttthtthtthhttttthhhhtttthhthxhhtthtxhhtthxthhththtththtthhthhhhhththtthhthththhhhhtttthhththtxhxhthhhtthh","Internet"
"FranziskaNippold",30,"0.20EUR","t","httththtthttthtthhhhhthtxhthtxthtttthhthtthhthhthttttththhhhtthxhhtxhthhtttttthththttthhthtxhthhhtthttttththhhthxht","Internet"
"FranziskaNippold",31,"2INR","t","tthtthhththttththtthhthttththhhhhhthtthhhhhthhxthhhtxhhthxthttthhhhhhhhhhhhxttttthhthtthxthhhthhttthhthththtthth","Internet"
