"X","y","m","person","coin","group","total","total_category"
318,253,462,"RoyMichaelMoore","0.20EUR","marathon-MSc",462,"100-500"
319,288,521,"RoyMichaelMoore","1EUR","marathon-MSc",521,"500-1000"
320,274,512,"RoyMichaelMoore","0.50EUR","marathon-MSc",512,"500-1000"
321,234,496,"RoyMichaelMoore","2EUR","marathon-MSc",496,"100-500"
322,223,479,"SjoerdTerpstra","0.50RON","marathon-MSc",479,"100-500"
323,244,495,"SjoerdTerpstra","0.50EUR","marathon-MSc",495,"100-500"
324,249,501,"SjoerdTerpstra","2EUR","marathon-MSc",501,"500-1000"
325,253,505,"SjoerdTerpstra","1CAD","marathon-MSc",505,"500-1000"
326,250,486,"SjoerdTerpstra","5SEK","marathon-MSc",486,"100-500"
327,220,439,"TheresaLeidinger","2EUR","marathon-MSc",439,"100-500"
328,256,527,"TheresaLeidinger","2CAD","marathon-MSc",527,"500-1000"
329,236,464,"TheresaLeidinger","0.25USD","marathon-MSc",464,"100-500"
330,162,310,"TheresaLeidinger","1CAD","marathon-MSc",310,"100-500"
331,246,437,"TianqiPeng","1EUR","marathon-MSc",437,"100-500"
332,364,552,"TianqiPeng","0.20EUR","marathon-MSc",552,"500-1000"
333,292,470,"TianqiPeng","0.50EUR","marathon-MSc",470,"100-500"
334,220,440,"TingPan","2EUR","marathon-MSc",440,"100-500"
335,221,451,"TingPan","0.50SGD","marathon-MSc",451,"100-500"
336,281,528,"TingPan","0.05EUR","marathon-MSc",528,"500-1000"
337,81,154,"TingPan","1EUR","marathon-MSc",154,"100-500"
338,247,456,"VincentOtt","1EUR","marathon-MSc",456,"100-500"
339,292,532,"VincentOtt","2EUR","marathon-MSc",532,"500-1000"
340,275,533,"VincentOtt","0.50EUR","marathon-MSc",533,"500-1000"
341,263,509,"VincentOtt","0.20GBP","marathon-MSc",509,"500-1000"
342,255,517,"VincentOtt","1DEM","marathon-MSc",517,"500-1000"
343,256,445,"XiaochangZhao","0.50SGD","marathon-MSc",445,"100-500"
344,273,506,"XiaochangZhao","0.50EUR","marathon-MSc",506,"500-1000"
345,284,522,"XiaochangZhao","0.20EUR","marathon-MSc",522,"500-1000"
346,155,299,"XiaochangZhao","2EUR","marathon-MSc",299,"100-500"
347,213,460,"XiaoyiLin","0.50EUR","marathon-MSc",460,"100-500"
348,192,351,"XiaoyiLin","0.20EUR","marathon-MSc",351,"100-500"
349,231,478,"frantisekB","0.20GEL","top-up",478,"100-500"
350,235,458,"henrikG","1CAD","marathon-PhD",458,"100-500"
351,227,481,"henrikG","0.50EUR","marathon-PhD",481,"100-500"
352,258,503,"JasonNak","0.20EUR","marathon-PhD",503,"500-1000"
353,237,483,"JasonNak","0.10EUR","marathon-PhD",483,"100-500"
354,236,487,"JasonNak","1CAD","marathon-PhD",487,"100-500"
355,245,503,"JasonNak","2EUR","marathon-PhD",503,"500-1000"
356,230,501,"JasonNak","0.50EUR","marathon-PhD",501,"500-1000"
357,270,505,"JasonNak","10CZK","marathon-PhD",505,"500-1000"
358,184,354,"JasonNak","50CZK","marathon-PhD",354,"100-500"
359,227,475,"jonasP","0.50EUR","marathon-PhD",475,"100-500"
360,245,494,"jonasP","1CAD","marathon-PhD",494,"100-500"
361,255,505,"jonasP","10CZK","marathon-PhD",505,"500-1000"
362,265,510,"jonasP","2EUR","marathon-PhD",510,"500-1000"
363,252,499,"KarolineH","1EUR","marathon-PhD",499,"100-500"
364,282,528,"KarolineH","50CZK","marathon-PhD",528,"500-1000"
365,494,992,"KarolineH","2EUR","marathon-PhD",992,"500-1000"
366,242,498,"KarolineH","10CZK","marathon-PhD",498,"100-500"
367,121,243,"KarolineH","0.25USD","marathon-PhD",243,"100-500"
368,224,483,"KatharinaKarnbach","1CHF","marathon-PhD",483,"100-500"
369,231,480,"KatharinaKarnbach","1GBP","marathon-PhD",480,"100-500"
370,244,488,"KatharinaKarnbach","0.50EUR","marathon-PhD",488,"100-500"
371,274,509,"KatharinaKarnbach","1EUR","marathon-PhD",509,"500-1000"
372,111,212,"KatharinaKarnbach","2EUR","marathon-PhD",212,"100-500"
373,258,495,"KoenDerks","0.50EUR","marathon-PhD",495,"100-500"
374,258,504,"KoenDerks","0.20EUR","marathon-PhD",504,"500-1000"
375,256,504,"KoenDerks","2EUR","marathon-PhD",504,"500-1000"
376,276,528,"KoenDerks","1EUR","marathon-PhD",528,"500-1000"
377,281,509,"KoenDerks","1CAD","marathon-PhD",509,"500-1000"
378,248,489,"KoenDerks","0.10EUR","marathon-PhD",489,"100-500"
379,110,208,"KoenDerks","0.20GEL","marathon-PhD",208,"100-500"
380,253,499,"MichelleDonzallaz","2EUR","marathon-PhD",499,"100-500"
381,269,503,"MichelleDonzallaz","50CZK","marathon-PhD",503,"500-1000"
382,253,494,"MichelleDonzallaz","0.50EUR","marathon-PhD",494,"100-500"
383,268,504,"MichelleDonzallaz","1EUR","marathon-PhD",504,"500-1000"
