Amir,60,2 MAD,Heads,ttthxtthhhhhxhhhtthhhhhtxxthtththhhhtthhthhxhhhhxthtthhxhhhxxxthhhxtthxhtttttttxttthxttxhhtthttxhxtttththtttthttthhht
Amir,61,1 MAD,Heads,hthhthxhhthxhthxhthxhttthhttttxtxhtxxhthtthhhxtthtthththhxhhhhxhxttttxxthhthtxthttttttttththtxxhhtttttxtxtxtxhhtthtxxhtthht
Amir,62,1 MAD,Heads,htxtththtttxhtthttttxhhthhththttthtttthhhthtxthhhxhxttthhtthhhtthtxtxxhhhhxtxhhhhtttthxtthhhhxhtththhhhhthhhhhhtt
Amir,63,1 MAD,Heads,hhxtxttttxhthtthtxhhthhhxhhhhxhhhxtthhtxthhtxhhhththhththththhthhxhthhttthhtthttxttxhxhthxthhtxhxxhxhxtthhtxhthxttxhtththh
Amir,64,1 MAD,Tails,thtxhhhthhhhththhhththtthtthxhhhthttxtthttthttthhtttthtxthtttthhxhthhhxxthtththxthxhxthhttthhhhhxtthhhhxhhtthtxht
Amir,65,1 MAD,Heads,hhtxththxthttthhhthhhthxhthhthtttthhhtxhtthhhxthhxhhtthhhhxhhxhththhttthhhthttxhtttththhthhhhxthhththhttthttht
Amir,66,1 MAD,Heads,thtthhhhhhthttththtthhhthtthhhhtxttththhhhthhtthtththxtthhhhhhttttttxhhthhhtthhhxthhxtxthhthhthhhttxhtthttxt
Amir,67,1 MAD,Tails,xhxtththxtthhhxttxhthtxtxthxxxhthtththhhtthhthtttttttxxttxtthxxhtttttxttthhthtxthxhtxhhhhthtxhtxxxtthtxhthhthhttxxhttxhhthtthhh
Amir,68,1 MAD,Tails,htthhhththhtththhhhhthxhththhtxhhxhtthhhhthttthhhthhhthhhhhthhtxhhhthhtththtttththhtxthhxhhtttthtxhhthxhthhh
Amir,69,1 MAD,Tails,httthxxthhthhtthhhhthhhhttthtttthttttththhhhhxhhthhtththtttththhtthtthttthhttthhxtthhtxhhxtthhhhhhthtthhxtt
Amir,70,1 MAD,Tails,htttxttthtxhthtttthtthtxtttttxhxhxhttthhthtthhhhhhhhhtthththttthhhththhhxtttthxthtththtxhhththxhhxtttttxtxhhxtxhtth
Amir,71,0.5 NZD,Tails,hhhxhxhtttxhthttttxhhhthhtthhhthxhxtthttthtttttttthththxhtxhhhttthhhhththththhttxhxxtxhhhhthxhhttthxtthtxthththtthtttttxhxthxtht
Amir,72,0.5 NZD,Heads,tthhtxtttthxhhhhhhtthttttthxthxxhhhthxxhhhttxhthxttthhhxtthhhxhhhxxxthtxhhhtxhhtxhttxxttxxhhhxtthxhhthxtxthttxttxthttxhhtthtxttht
Amir,73,0.5 NZD,Heads,hhhthhttxttthtthtttthhtthhhtxttxthhxxhhxxtxtthththhthtthxhthhhhhhxthhththxxhhtthhhhhhhhhthtttthhthhhhxhhhhthtxxhtth
Amir,74,0.5 NZD,Tails,hxxhththttttthhttthhthxtxtthhthttttttxhhtttthhxhhthxhtthttttxhxthhttxhhhtttxhhttxhhhhhtttththhhhhhxxthhhtththhhttt
Amir,75,0.5 NZD,Tails,thtxttthhxththtthhtttthhhxxhxhhhthttttthxhtxthtxhtththxhttthhhtthxthttththtthttthtxtththhhhxtxthhhttthhhhthtthtxth
Amir,76,0.5 NZD,Tails,hhhthhhhthxttxxhtthxhhhhthttthxtxhhxhthxxhthhxhtthhthtttthxttthhxthxhhtxttxhhxxhhhttxhhhhhxtthhhhhhhthtthxxxhhthttxtxttthhxtht
Amir,77,0.5 NZD,Heads,hhhhthhttthxhtththhxhthtthhththhthhhttthhhhttxhhxtthhtxhhhthxthttttxtxtthtthhhhhtttthtxxttththhhthhxttxthhthxttth
Amir,78,0.5 NZD,Heads,hhhhhtxthttthxxhththhthtxhhxhhtxhtxtthththttthtxhthtxxtxttthxtxthxhttxttxhththxthhhtxhthxxhhxhxttthhhhttxtthhxtthtthtxtttttth
Amir,79,0.5 NZD,Tails,hhttththhhhtttthxtxtthhtttxhhhtxhhttxththtxxhhhhhhtthtththtxhthtxhhhxthhhhhhhhttththttthhxhttthhhhhthxthxhththxhxht
Amir,80,0.5 NZD,Tails,xthhtxttthtttttthtththhtthhhhttttxtxtththtttttthhthttthtxhthxhhhththttxthxxhhhhhtttxhtthxtxtttxttttthhththhttxttht
Amir,81,0.5 EUR,Tails,ttththttxhthhthxthtxhthhthtxtthttthtxhhhhhxhhhhttxthxxhhtthttththhxtttthxttthhhhhttththhhhhxhthhtxttthhhhxhtthtttt
Amir,82,0.5 EUR,Heads,tththhxhtthxthxxthtxthhttthttxhxhtththttttthttththtxththtththtxhxhhtttthtxhhtxhththhtththhhttxththhhhxtthhthhhtxtth
Amir,83,0.5 EUR,Tails,ttttxhtthxthttxhhttthxhthhthtttththxhxttththhthhxtththhttttthhthhxhxhhhthhhththtthtthhttththhhththhxhhtththhht
Amir,84,0.5 EUR,Heads,txxhhxhhhtttxhthhxhxhttthttxhtxhtxhthhhhthhhthtxthhthhhthtthhhtttxthtthtttxthhtttttttththhhththhxxthhhthhthttthtxhh
Amir,85,0.5 EUR,Tails,txhthhxttxttxxthtththtthhthxhxhhhhthhhhhthhhhtthtxhhhttthhxtxhhtxhhtththhhhxhxthhhthththtthxhththhthhtththttththxhh
Amir,86,0.5 EUR,Tails,ttttthttthhthttthhhhxhhththhthhhthhhhxtthhhxxhtthxhtthhthththhhhhtxhxtttthhtthxxhtththtttxhhhhhtthxthttthhhhhth
Amir,87,0.5 EUR,Tails,thhththttttthtxhxhhthhttttxxttthxtththttthttttxxtththtththhxhtthttthhhthhtxthhhtthhhtththtthhxhhhxthhhhhtthxtthh
Amir,88,0.5 EUR,Tails,tththhhhxthhhhttxthhtttthxhttttxthhtxthhxtxttthtthxhhtthhhthhxhthhthhhtttthttthhttttththththhhttthhhthththxtxxhh
Amir,89,0.5 EUR,Heads,txhhhtthtthhxtxhthhhhhhthtthhxtttxhhthxhtxtxtxhhtxxhhttthhthtthhhhttxhhhtxhhttttthhthhthhhhtthhthhhtxtttththxhttttxh
Amir,90,0.5 EUR,Heads,hthhthxhhhttthxthttxttttthhhththhtthhhthttxxhhhhxhttthththhtthhthhtththhhhthhhtthhhhhtthhhhthttthtxhhtthhht
Amir,91,1 EUR,Tails,tththhtttttttthhhtthhtthhthxhtthhtthhhtththhhhhhhhhhttttthhhhhttttttttxhhhtxhhxhhhhhttthttthththhttthhtt
Amir,92,1 EUR,Tails,hhhxttthhxthhthhththhttxhthhhthtxhthtthxthhhhhtthhxhtthxtthhtthhhhthhttthtththtttthhhhthtthxhhhthhtxtththhhtxh
Amir,93,1 EUR,Heads,ttthhthttthxhhttthhthhhtthtttthhthhtththtxthxxthxtthththhththhtthtttthhthhtthhthhthxhtthhhthhhtthtttththtt
Amir,94,1 EUR,Heads,thhhththtthhthhththxthhthtxthhhthhthhthhthhtxhthxtthhhthhtththtthhhhxhthxhtthhhhthhththhthhtthhtttththhxhhh
Amir,95,1 EUR,Heads,hxthtthtthxtttthhhhxtththhhththhxhtxththhthththtthhxhtththhththhtthtththhttthtththhxthtthhhthxhtththththhtth
