Date, Coin, Start, Sequence
2023-01-09 19:09:59,5YEN,Tails,hhthhhhhttththtxthhhxhtthhththtttttththttththttthhhtthhthttththttttttthtthtxthhttthhhttththhxthttthhhtth
2023-01-09 19:16:22,5YEN,Tails,thxtthhhtthhhhhtttthhhthhhhttttthhhhthtthtththhhxhththtthhhttttttththhthhthhhtttthhhthhtththhtthtthhtt
2023-01-09 19:27:13,5YEN,Tails,thttthtthxhthtthtththhhthhhththtttttthhhthhtthhttthxhhhthhttthhthhhtthhhhhhtthttthhxhhtththhhhthhhtttht
2023-01-09 19:37:03,5YEN,Heads,htthhhtttthxhhhthhhthhhhtxthththhththhhhthhhtthhthhhthhhtthththhthhthtthtththhtththtthhhhthtthhhtxtthht
2023-01-09 19:43:03,5YEN,Heads,hhhhhhhtttthhhhththtththththhtththttththttthhttthhhthtxhthhthhtthhhhtththhthhhthhhtthtxtthhthtthhhthht
2023-01-09 19:49:32,5YEN,Tails,thhhhthththtxhttxhhthhhththhtththtthththxthtttththththtxhthhthhthhhthhtthhhtthththhhttttthtttttttthhhthh
2023-01-20 10:46:49,5SEK,Tails,thththhhthtththttthxhtthhtttttththtththtththhtttxxhthtthttththtttthhtttthttxththhthhhttthtttttthhtthtttt
2023-01-20 10:55:42,5SEK,Heads,ttxhtthhhhhthhhtthhttthtthhtthxxtxtthhhthtthtttththththhthhthxhthhththtxhhhhhthththtthththhhtthtthththttth
2023-01-20 11:13:17,5SEK,Tails,hhhhthtthhththxhttththththhhxththtttttthhhhhhttthhhhhhtttxhtxttxthtttthhhhhhhhhtththhtthhthhtththhthhthtt
2023-01-20 11:18:35,5SEK,Heads,tthhtthhhtthththhhththhthhthhhthxthtthhhtttthttthhhhhttthhhtthttttththhhhhhhththhhhtthhtttttthhhthhxht
2023-01-20 11:28:46,5SEK,Tails,hthtthhthhthththttttxhtthhththhthhhttthththtthhtttthhxxtttxxttttthhthththttttthhhhhhthhttttthhhthhhthhttt
2023-01-20 11:33:37,5SEK,Heads,tththhhtthhhhhtththttthtttttttthhthththtthtttththtththttthtththhhttthhhhhtthththththhtthhthhhthhttth
2023-01-20 11:40:44,5SEK,Tails,hhtthhhtththtthttthhhhthhhtttthththhttthhthhtthhhthhthhthtttththhthhhhththtttththhhhtthhhhhhhhhtthht
2023-01-20 11:47:40,5SEK,Heads,httthhthhhthhttthhhthtththhtttthtthththtthttttthttthhhthtthththxhhtttttthhhthhhhthtthtttthhttththhttt
2023-01-20 11:53:20,5SEK,Tails,hthhhthtthhhhtththththhththhhthtthtthhthttthtxhhhhhhhhhhttttthhtttthhtthtthhhhhttttthtthtthththhhttht
2023-01-20 11:58:13,5SEK,Heads,httththtthhhhtththhtthhttthttttttthhtttththhththhhhhthththhhhhttthththhhtthhhthhthttthththhtththhthh
2023-01-20 12:07:12,5SEK,Tails,hxhhthhtttxthtthhththtthhthhtthttthhhhthhhhhhhtththhhttthtttthtthhthththhtthhhthhhthtthhhhhtththhhthhh
2023-01-20 12:12:03,5SEK,Heads,tttthttthhttttttttttttttttthhthtththhthhhhthhthhhhhhhthtthhthhhhthtthhhhtthhhhhhthhttthhhtttttthhtth
2023-01-20 12:18:45,5SEK,Tails,tthhthttthhhhhhhtththhhttthtttthtthtthhhttththhthhttthtttthhtthhthththtthhthhttttththxhhthhthhhhtthht
2023-01-20 12:25:06,5SEK,Tails,hhtthhtthtthhtthtthhhtttttththhtththtttttththttthhhtththhtthttthtthhthhttthhhthhhttxthhhthhhthtthhhtt
2023-01-20 12:31:10,5SEK,Heads,tthhhttttttthtthhtththhhhhttttththhhhthhthhhththhthththttthhththtthhhttththhhthththhtttthhhtthhttthh
2023-01-20 12:36:57,5SEK,Tails,hththhthhtthhthhhhhthththtthhttthhhtttthhttththhhtthhhthhhthttthttththhhtthhhthtthhttthhthhhthtthttth
2023-01-20 12:42:57,5SEK,Heads,hhtthhhthhhtthhhttthhthhhhthtthhhththhhtttttthhthtttthhhhtthtthhhhtthtththththhhhththhhhttxhtttthhtht
2023-01-20 12:48:39,5SEK,Heads,httthtttthtthhtthtththtthhhhhhttthhthhhhhhtthtththhxxtthththhtttthhttthtthttththhththttththtthtttththh
2023-01-20 12:54:32,5SEK,Heads,htttxhthttthhttthttthhhhhhxttthhthhhhttthtthttthhhthhthttthhthhtthhththhhthththhtthhhtthtththhtththhht
2023-01-20 12:59:30,5SEK,Heads,thhtttthhhhtthhththhhhtthhhthhhhtthhhttttttthththttttxttttthhttthhhtthhhhthththtthttththttthhhthhhhth
